iteration, obj, obj_qp, obj_lp, obj_decoded, rho
1902,-3136.7,-3136.7,-3136.7,-3136.8,0.50625
1903,-3136.7,-3136.7,-3136.7,-3136.8,0.50625
1905,-3136.7,-3136.7,-3136.7,-3136.8,0.75938
1907,-3136.7,-3136.7,-3136.7,-3136.8,1.1391
1909,-3136.7,-3136.7,-3136.7,-3136.8,1.7086
1910,-3136.7,-3136.7,-3136.7,-3136.8,2.5629
1911,-3136.7,-3136.7,-3136.7,-3136.8,3.8443
1912,-3136.7,-3136.7,-3136.7,-3136.8,5.7665
1913,-3136.7,-3136.7,-3136.7,-3136.8,8.6498
1914,-3136.7,-3136.7,-3136.7,-3136.8,12.975
1915,-3136.7,-3136.7,-3136.7,-3136.8,19.462
1916,-3136.7,-3136.7,-3136.7,-3136.8,29.193
1917,-3136.7,-3136.7,-3136.7,-3136.8,43.789
1918,-3136.7,-3136.7,-3136.7,-3136.8,65.684
1919,-3136.7,-3136.7,-3136.7,-3136.8,98.526
1920,-3136.7,-3136.7,-3136.7,-3136.8,147.79
1921,-3136.7,-3136.7,-3136.7,-3136.8,221.68
1922,-3136.7,-3136.7,-3136.7,-3136.8,332.53
1923,-3136.7,-3136.7,-3136.7,-3136.8,498.79
1924,-3136.7,-3136.7,-3136.7,-3136.8,748.18
1925,-3136.7,-3136.7,-3136.7,-3136.8,1122.3
1926,-3136.7,-3136.7,-3136.7,-3136.8,1683.4
1927,-3136.7,-3136.7,-3136.7,-3136.8,2525.1
1928,-3136.7,-3136.7,-3136.7,-3136.8,3787.7
1929,-3136.7,-3136.7,-3136.7,-3136.8,5681.5
1930,-3136.7,-3136.7,-3136.7,-3136.8,8522.3
1931,-3136.7,-3136.7,-3136.7,-3136.8,12783
1932,-3136.7,-3136.7,-3136.7,-3136.8,19175
1933,-3136.7,-3136.7,-3136.7,-3136.8,28763
1934,-3136.7,-3136.7,-3136.7,-3136.8,43144
1935,-3136.7,-3136.7,-3136.7,-3136.8,64716
1936,-3136.7,-3136.7,-3136.7,-3136.8,97074
1937,-3136.7,-3136.7,-3136.7,-3136.8,1.4561e+05
1938,-3136.7,-3136.7,-3136.7,-3136.8,2.1842e+05
1939,-3136.7,-3136.7,-3136.7,-3136.8,3.2762e+05
1940,-3136.7,-3136.7,-3136.7,-3136.8,4.9144e+05
1941,-3136.7,-3136.7,-3136.7,-3136.8,7.3716e+05
1942,-3136.7,-3136.7,-3136.7,-3136.8,1.1057e+06
1943,-3136.7,-3136.7,-3136.7,-3136.8,1.6586e+06
1944,-3136.7,-3136.7,-3136.7,-3136.8,2.4879e+06
1945,-3136.7,-3136.7,-3136.7,-3136.8,3.7318e+06
1946,-3136.7,-3136.7,-3136.7,-3136.8,5.5978e+06
1947,-3136.7,-3136.7,-3136.7,-3136.8,8.3967e+06
1948,-3136.7,-3136.7,-3136.7,-3136.8,1.2595e+07
1949,-3136.7,-3136.7,-3136.7,-3136.8,1.8892e+07
1950,-3136.7,-3136.7,-3136.7,-3136.8,2.8339e+07
1951,-3136.7,-3136.7,-3136.7,-3136.8,4.2508e+07
1952,-3136.7,-3136.7,-3136.7,-3136.8,6.3762e+07
1953,-3136.7,-3136.7,-3136.7,-3136.8,9.5643e+07
1954,-3136.7,-3136.7,-3136.7,-3136.8,1.4346e+08
1955,-3136.7,-3136.7,-3136.7,-3136.8,2.152e+08
1956,-3136.7,-3136.7,-3136.7,-3136.8,3.228e+08
1957,-3136.7,-3136.7,-3136.7,-3136.8,4.8419e+08
1958,-3136.7,-3136.7,-3136.7,-3136.8,7.2629e+08
1959,-3136.7,-3136.7,-3136.7,-3136.8,1.0894e+09
1960,-3136.7,-3136.7,-3136.7,-3136.8,1.6342e+09
1961,-3136.7,-3136.7,-3136.7,-3136.8,2.4512e+09
1962,-3136.7,-3136.7,-3136.7,-3136.8,3.6768e+09
1963,-3136.7,-3136.7,-3136.7,-3136.8,5.5153e+09
1964,-3136.7,-3136.7,-3136.7,-3136.8,8.2729e+09
